latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
58.17953,-152.55739,313.6,0.48,0.4,05/08/20,13:00,N,nominal,1.0NRT,281.8,1.8,N
0,0,330.2,0.41,0.37,05/08/20,22:48,N,nominal,1.0NRT,284.9,3.7,D
